section_id,title,status,latest_date,latest_run_ids,summary,risks,next_checks
01,01_执行摘要,OK,2026-04-23,167,"当前已识别到的最新报告日为 2026-04-23。 最新运行可追踪到 run_id=167。 本章节已汇总 16 个来源，覆盖主题：daily_ops, human_review, run_summary。",,人工抽样复核本章节结论。
02,02_今日关键结论,WARN,2026-04-23,166|167|215,"当前已识别到的最新报告日为 2026-04-23。 最新运行可追踪到 run_id=215。 本章节已汇总 23 个来源，覆盖主题：alert, human_review, risk, run_summary。 本章节当前结论需优先人工复核。 由于关联告警来源，应重点关注异常、阻塞项或缺口信号。 由于关联风控来源，应重点关注 reject / adjust / WARN 的影响。",本章节当前结论需人工复核，不应直接视为稳定最终结论。,人工抽样复核本章节结论。
03,03_数据更新水位,OK,2026-04-23,167,"当前已识别到的最新报告日为 2026-04-23。 最新运行可追踪到 run_id=167。 本章节已汇总 11 个来源，覆盖主题：audit, daily_ops, run_summary。",,确认最近一个已收盘交易日的数据水位是否完整。
04,04_数据源与备用源使用情况,OK,2026-04-23,,"当前已识别到的最新报告日为 2026-04-23。 当前未识别到可直接用于说明状态的 run_id。 本章节已汇总 13 个来源，覆盖主题：audit, daily_ops, env。",,人工抽样复核本章节结论。
05,05_数据质量与缺口,WARN,2026-04-23,,"当前已识别到的最新报告日为 2026-04-23。 当前未识别到可直接用于说明状态的 run_id。 本章节已汇总 10 个来源，覆盖主题：alert, audit, daily_ops。 本章节当前结论需优先人工复核。 由于关联告警来源，应重点关注异常、阻塞项或缺口信号。",本章节当前结论需人工复核，不应直接视为稳定最终结论。|数据质量与缺口章节已关联 alert 来源，说明仍存在待人工确认的异常或缺口信号。,人工抽样复核本章节结论。
06,06_指标/因子/特征/标签状态,OK,2026-04-23,,"M3 定义层与部分 snapshot 事实已可识别，06_指标/因子/特征/标签状态 可不再仅依赖 docs-only。 当前来源主题：m3_docs, m9_bridge。",M3 定义层与部分 snapshot 事实已可识别，06_指标/因子/特征/标签状态 可不再仅依赖 docs-only。,检查 M3 definition 是否完整、recent M3 runs 是否成功，以及 snapshot/readiness 事实是否仍为空。
07,07_策略与信号状态,OK,2026-04-23,,"M4 策略定义、版本与 signal 运行事实均已识别，07_策略与信号状态 可基于实际 signal facts 解释。 当前来源主题：m4_docs, m9_bridge。",M4 策略定义、版本与 signal 运行事实均已识别，07_策略与信号状态 可基于实际 signal facts 解释。,检查 M4 strategy metadata 是否 ready，以及 strategy_signal 运行事实是否仍为 0。
08,08_回测与研究结果,OK,,61|80|83|84|86|87|89,"当前最新可识别的回测运行为 run_id=89。 当前回测来源未稳定携带报告日，更多是依赖 run_id 来定位最新研究结果。 历史相关回测 run 集合为：61, 80, 83, 84, 86, 87, 89。 本章节已汇总 19 个来源，覆盖主题：backtest, m5_docs。 当前章节已能区分 latest backtest run 与历史相关 run。",,复核最新 backtest 的区间、策略版本、关键指标，并区分 latest run 与历史相关 run。
09,09_Paper Trading 交易链路,OK,2026-04-23,154,"当前已识别到的最新报告日为 2026-04-23。 最新运行可追踪到 run_id=154。 本章节已汇总 9 个来源，覆盖主题：daily_ops, paper_chain。",,核对目标仓位、订单、成交、持仓快照是否闭环。
10,10_风控与目标仓位调整,WARN,2026-04-23,154|166|215,"当前已识别到的最新报告日为 2026-04-23。 最新运行可追踪到 run_id=215。 本章节已汇总 23 个来源，覆盖主题：human_review, paper_chain, risk。 本章节当前结论需优先人工复核。 由于关联风控来源，应重点关注 reject / adjust / WARN 的影响。",本章节当前结论需人工复核，不应直接视为稳定最终结论。,重点检查 reject / adjust / WARN 的原因和影响。
